Bus Number,Bus Type,Bus Type Expl.,Base Voltage [kV],P_gen [100MW],Q_gen  [100 MVAr],P_load  [100MW],Q_load  [100 MVAr],Inertia,Damping,Generator Capacity,X_d [pu.],X_d_dash [p.u.],T_d_dash [p.u.],X_q [p.u.],X_q_dash [p.u.],T_q_dash [p.u.]
1,G,G,69,2.32,0,0,0,5.148,2,615,0.8979,0.2995,7.4,0.646,0.646,0
2,S,Slack Bus,69,0.4,-0.424,0.217,0.127,6.54,2,60,1.05,0.185,6.1,0.98,0.36,0.3
3,G,Synchr. Comp.,69,0,0,0.942,0.19,6.54,2,60,1.05,0.185,6.1,0.98,0.36,0.3
4,L,Load,69,0,0,0.478,0,,,,,,,,,
5,L,Load,69,0,0,0.076,0.016,,,,,,,,,
6,G,Synchr. Comp.,13.8,0,0,0.112,0.075,5.06,2,25,1.25,0.232,4.75,1.22,0.715,1.5
7,L,Load,13.8,0,0,0,0,,,,,,,,,
8,G,Synchr. Comp.,18,0,0,0,0,5.06,2,25,1.25,0.232,4.75,1.22,0.715,1.5
9,L,Load,13.8,0,0,0.295,0.166,,,,,,,,,
10,L,Load,13.8,0,0,0.09,0.058,,,,,,,,,
11,L,Load,13.8,0,0,0.035,0.018,,,,,,,,,
12,L,Load,13.8,0,0,0.061,0.016,,,,,,,,,
13,L,Load,13.8,0,0,0.135,0.058,,,,,,,,,
14,L,Load,13.8,0,0,0.149,0.05,,,,,,,,,
